YEARA,DATEA,GAME_IDH,TEAMH,PTSH,TEAMA,PTSA,FG_PCTH,FG_PCTA,FT_PCTH,FT_PCTA,FG3_PCTH,FG3_PCTA,ASTH,ASTA,REBH,REBA,TOVH,TOVA,WIN,WINTEAMNAME,WINTEAMNUM
2016,2016-01-09,21500550,LAC,97.0,CHA,83.0,0.44,0.369,0.9,0.737,0.258,0.304,19.0,14.0,47.0,47.0,9.0,15.0,,LAC,1.0
2016,2016-01-09,21500551,ATL,120.0,CHI,105.0,0.521,0.434,0.8,0.839,0.417,0.389,33.0,16.0,40.0,46.0,15.0,21.0,,ATL,1.0
2016,2016-01-09,21500552,ORL,99.0,WAS,105.0,0.514,0.553,0.75,0.8,0.357,0.565,22.0,29.0,37.0,27.0,15.0,15.0,,ORL,0.0
2016,2016-01-09,21500553,DET,103.0,BKN,89.0,0.467,0.463,0.643,0.8,0.296,0.556,23.0,24.0,47.0,38.0,9.0,14.0,,DET,1.0
2016,2016-01-09,21500554,PHI,95.0,TOR,108.0,0.488,0.547,0.429,0.778,0.647,0.294,26.0,19.0,35.0,37.0,13.0,13.0,,PHI,0.0
2016,2016-01-09,21500555,UTA,98.0,MIA,83.0,0.549,0.415,0.611,0.529,0.45,0.316,19.0,14.0,37.0,39.0,16.0,17.0,,UTA,1.0
2016,2016-01-09,21500556,SAC,116.0,GSW,128.0,0.467,0.563,0.759,0.733,0.348,0.514,27.0,35.0,34.0,48.0,10.0,18.0,,SAC,0.0
2016,2016-01-10,21500558,LAC,114.0,NOP,111.0,0.472,0.4,0.529,0.793,0.333,0.267,26.0,20.0,47.0,56.0,14.0,14.0,,LAC,1.0
2016,2016-01-10,21500557,MIN,87.0,DAL,93.0,0.418,0.468,0.773,0.714,0.25,0.3,23.0,20.0,38.0,39.0,16.0,13.0,,MIN,0.0
2016,2016-01-10,21500559,PHI,85.0,CLE,95.0,0.455,0.389,0.474,0.696,0.333,0.281,22.0,20.0,48.0,51.0,19.0,10.0,,PHI,0.0
2016,2016-01-10,21500560,MEM,101.0,BOS,98.0,0.369,0.42,0.875,0.739,0.25,0.318,12.0,22.0,58.0,39.0,21.0,16.0,,MEM,1.0
